,dataset,embedding_model,agg_method,similarity,edge_constructor,clusterer,depth,connected_nodes,percentage_connected,tag_counts,degree_of_separation
10,medium1k_200,minilm,mean,cosine,random5,gmm70,2.0,12.0,0.044,"{1: {'Health': 10, 'Science': 12, 'Self Improvement': 3, 'Mental Health': 8, 'Psychology': 5, 'Technology': 13, 'Entrepreneurship': 12, 'Writing': 39, 'Productivity': 27, 'Marketing': 10, 'Books': 3, 'Coronavirus': 4, 'Art': 30, 'Writing Tips': 1, 'Lifestyle': 2, 'Entertainment': 1, 'Society': 2, 'Climate Change': 1, 'Business': 5, 'Life': 1}, 2: {'CLUSTER': 7, 'Productivity': 4, 'Entrepreneurship': 4, 'Mental Health': 4, 'Psychology': 4, 'Science': 4, 'Health': 5, 'Self Improvement': 2, 'Writing': 3, 'Art': 1}, 3: {'Productivity': 16, 'Work': 2, 'Art': 15, 'Writing': 12, 'Entrepreneurship': 8, 'Writing Tips': 1, 'CLUSTER': 41, 'Psychology': 22, 'Mental Health': 13, 'Technology': 25, 'Science': 20, 'Health': 18, 'Culture': 1, 'Books': 3, 'Entertainment': 2, 'Lifestyle': 1, 'Coronavirus': 4, 'Life Lessons': 1, 'Business': 4, 'Self Improvement': 2, 'Self-awareness': 2, 'Life': 1, 'Self': 1, 'Food': 1}}",
11,medium1k_200,minilm,mean,cosine,random5,gmm70,3.0,71.0,0.262,"{1: {'Health': 10, 'Science': 12, 'Self Improvement': 3, 'Mental Health': 8, 'Psychology': 5, 'Technology': 13, 'Entrepreneurship': 12, 'Writing': 39, 'Productivity': 27, 'Marketing': 10, 'Books': 3, 'Coronavirus': 4, 'Art': 30, 'Writing Tips': 1, 'Lifestyle': 2, 'Entertainment': 1, 'Society': 2, 'Climate Change': 1, 'Business': 5, 'Life': 1}, 2: {'CLUSTER': 7, 'Productivity': 4, 'Entrepreneurship': 4, 'Mental Health': 4, 'Psychology': 4, 'Science': 4, 'Health': 5, 'Self Improvement': 2, 'Writing': 3, 'Art': 1}, 3: {'Productivity': 16, 'Work': 2, 'Art': 15, 'Writing': 12, 'Entrepreneurship': 8, 'Writing Tips': 1, 'CLUSTER': 41, 'Psychology': 22, 'Mental Health': 13, 'Technology': 25, 'Science': 20, 'Health': 18, 'Culture': 1, 'Books': 3, 'Entertainment': 2, 'Lifestyle': 1, 'Coronavirus': 4, 'Life Lessons': 1, 'Business': 4, 'Self Improvement': 2, 'Self-awareness': 2, 'Life': 1, 'Self': 1, 'Food': 1}}",
12,medium1k_200,minilm,mean,cosine,random10,kmeans50,1.0,99.0,0.394,"{1: {'Psychology': 13, 'Art': 23, 'Writing': 40, 'Entrepreneurship': 15, 'Business': 14, 'Technology': 13, 'Entertainment': 2, 'Productivity': 19, 'Marketing': 12, 'Coronavirus': 5, 'Mental Health': 6, 'Society': 3, 'Health': 5, 'Science': 14, 'Books': 2}, 2: {'Health': 11, 'CLUSTER': 19, 'Business': 5, 'Technology': 11, 'Psychology': 5, 'Science': 8, 'Productivity': 8, 'Art': 8, 'Writing': 8, 'Entrepreneurship': 6, 'Self-awareness': 1, 'Mental Health': 7, 'Lifestyle': 2, 'Work': 1, 'Life': 1, 'Entertainment': 2, 'Coronavirus': 3, 'Self': 1}, 3: {'Technology': 28, 'Psychology': 16, 'Science': 20, 'Health': 23, 'Business': 14, 'CLUSTER': 30, 'Climate Change': 2, 'Productivity': 19, 'Marketing': 6, 'Art': 22, 'Writing': 19, 'Entrepreneurship': 9, 'Self-awareness': 1, 'Finance': 1, 'Mental Health': 13, 'Lifestyle': 2, 'Storytelling': 3, 'Self Improvement': 8, 'Books': 4, 'Work': 1, 'Writing Tips': 3, 'Food': 1, 'Life': 1, 'Entertainment': 2, 'Self': 1, 'Society': 4, 'Coronavirus': 3, 'Culture': 3, 'LGBTQ': 1, 'Relationships': 2}}",
13,medium1k_200,minilm,mean,cosine,random10,kmeans50,2.0,21.0,0.084,"{1: {'Psychology': 13, 'Art': 23, 'Writing': 40, 'Entrepreneurship': 15, 'Business': 14, 'Technology': 13, 'Entertainment': 2, 'Productivity': 19, 'Marketing': 12, 'Coronavirus': 5, 'Mental Health': 6, 'Society': 3, 'Health': 5, 'Science': 14, 'Books': 2}, 2: {'Health': 11, 'CLUSTER': 19, 'Business': 5, 'Technology': 11, 'Psychology': 5, 'Science': 8, 'Productivity': 8, 'Art': 8, 'Writing': 8, 'Entrepreneurship': 6, 'Self-awareness': 1, 'Mental Health': 7, 'Lifestyle': 2, 'Work': 1, 'Life': 1, 'Entertainment': 2, 'Coronavirus': 3, 'Self': 1}, 3: {'Technology': 28, 'Psychology': 16, 'Science': 20, 'Health': 23, 'Business': 14, 'CLUSTER': 30, 'Climate Change': 2, 'Productivity': 19, 'Marketing': 6, 'Art': 22, 'Writing': 19, 'Entrepreneurship': 9, 'Self-awareness': 1, 'Finance': 1, 'Mental Health': 13, 'Lifestyle': 2, 'Storytelling': 3, 'Self Improvement': 8, 'Books': 4, 'Work': 1, 'Writing Tips': 3, 'Food': 1, 'Life': 1, 'Entertainment': 2, 'Self': 1, 'Society': 4, 'Coronavirus': 3, 'Culture': 3, 'LGBTQ': 1, 'Relationships': 2}}",
14,medium1k_200,minilm,mean,cosine,random10,kmeans50,3.0,87.0,0.347,"{1: {'Psychology': 13, 'Art': 23, 'Writing': 40, 'Entrepreneurship': 15, 'Business': 14, 'Technology': 13, 'Entertainment': 2, 'Productivity': 19, 'Marketing': 12, 'Coronavirus': 5, 'Mental Health': 6, 'Society': 3, 'Health': 5, 'Science': 14, 'Books': 2}, 2: {'Health': 11, 'CLUSTER': 19, 'Business': 5, 'Technology': 11, 'Psychology': 5, 'Science': 8, 'Productivity': 8, 'Art': 8, 'Writing': 8, 'Entrepreneurship': 6, 'Self-awareness': 1, 'Mental Health': 7, 'Lifestyle': 2, 'Work': 1, 'Life': 1, 'Entertainment': 2, 'Coronavirus': 3, 'Self': 1}, 3: {'Technology': 28, 'Psychology': 16, 'Science': 20, 'Health': 23, 'Business': 14, 'CLUSTER': 30, 'Climate Change': 2, 'Productivity': 19, 'Marketing': 6, 'Art': 22, 'Writing': 19, 'Entrepreneurship': 9, 'Self-awareness': 1, 'Finance': 1, 'Mental Health': 13, 'Lifestyle': 2, 'Storytelling': 3, 'Self Improvement': 8, 'Books': 4, 'Work': 1, 'Writing Tips': 3, 'Food': 1, 'Life': 1, 'Entertainment': 2, 'Self': 1, 'Society': 4, 'Coronavirus': 3, 'Culture': 3, 'LGBTQ': 1, 'Relationships': 2}}",
15,medium1k_200,minilm,mean,cosine,random10,kmeans70,1.0,112.0,0.413,"{1: {'Writing': 51, 'Art': 33, 'Psychology': 13, 'Business': 7, 'Productivity': 28, 'Life': 1, 'Mental Health': 9, 'Marketing': 10, 'Entrepreneurship': 13, 'Technology': 14, 'Science': 18, 'Health': 9, 'Self Improvement': 2, 'Coronavirus': 3, 'Books': 3}, 2: {'CLUSTER': 15, 'Business': 7, 'Art': 4, 'Health': 3, 'Science': 2, 'Technology': 4, 'Coronavirus': 1, 'Productivity': 3, 'Writing': 4, 'Psychology': 4, 'Mental Health': 3, 'Life Lessons': 2, 'Entrepreneurship': 2, 'Work': 1, 'Self Improvement': 1}, 3: {'Marketing': 9, 'Business': 15, 'Art': 10, 'CLUSTER': 54, 'Health': 7, 'Lifestyle': 3, 'Science': 4, 'Climate Change': 2, 'Technology': 9, 'Writing': 6, 'Productivity': 4, 'Psychology': 8, 'Coronavirus': 2, 'Society': 3, 'Mental Health': 4, 'Life Lessons': 2, 'Culture': 2, 'Entrepreneurship': 4, 'Storytelling': 1, 'Self Improvement': 2, 'Work': 1}}",
16,medium1k_200,minilm,mean,cosine,random10,kmeans70,2.0,16.0,0.059,"{1: {'Writing': 51, 'Art': 33, 'Psychology': 13, 'Business': 7, 'Productivity': 28, 'Life': 1, 'Mental Health': 9, 'Marketing': 10, 'Entrepreneurship': 13, 'Technology': 14, 'Science': 18, 'Health': 9, 'Self Improvement': 2, 'Coronavirus': 3, 'Books': 3}, 2: {'CLUSTER': 15, 'Business': 7, 'Art': 4, 'Health': 3, 'Science': 2, 'Technology': 4, 'Coronavirus': 1, 'Productivity': 3, 'Writing': 4, 'Psychology': 4, 'Mental Health': 3, 'Life Lessons': 2, 'Entrepreneurship': 2, 'Work': 1, 'Self Improvement': 1}, 3: {'Marketing': 9, 'Business': 15, 'Art': 10, 'CLUSTER': 54, 'Health': 7, 'Lifestyle': 3, 'Science': 4, 'Climate Change': 2, 'Technology': 9, 'Writing': 6, 'Productivity': 4, 'Psychology': 8, 'Coronavirus': 2, 'Society': 3, 'Mental Health': 4, 'Life Lessons': 2, 'Culture': 2, 'Entrepreneurship': 4, 'Storytelling': 1, 'Self Improvement': 2, 'Work': 1}}",
17,medium1k_200,minilm,mean,cosine,random10,kmeans70,3.0,78.0,0.288,"{1: {'Writing': 51, 'Art': 33, 'Psychology': 13, 'Business': 7, 'Productivity': 28, 'Life': 1, 'Mental Health': 9, 'Marketing': 10, 'Entrepreneurship': 13, 'Technology': 14, 'Science': 18, 'Health': 9, 'Self Improvement': 2, 'Coronavirus': 3, 'Books': 3}, 2: {'CLUSTER': 15, 'Business': 7, 'Art': 4, 'Health': 3, 'Science': 2, 'Technology': 4, 'Coronavirus': 1, 'Productivity': 3, 'Writing': 4, 'Psychology': 4, 'Mental Health': 3, 'Life Lessons': 2, 'Entrepreneurship': 2, 'Work': 1, 'Self Improvement': 1}, 3: {'Marketing': 9, 'Business': 15, 'Art': 10, 'CLUSTER': 54, 'Health': 7, 'Lifestyle': 3, 'Science': 4, 'Climate Change': 2, 'Technology': 9, 'Writing': 6, 'Productivity': 4, 'Psychology': 8, 'Coronavirus': 2, 'Society': 3, 'Mental Health': 4, 'Life Lessons': 2, 'Culture': 2, 'Entrepreneurship': 4, 'Storytelling': 1, 'Self Improvement': 2, 'Work': 1}}",
18,medium1k_200,minilm,mean,cosine,random10,gmm50,1.0,98.0,0.39,"{1: {'Mental Health': 14, 'Health': 10, 'Self Improvement': 6, 'Science': 9, 'Marketing': 15, 'Entrepreneurship': 14, 'Business': 8, 'Storytelling': 1, 'Technology': 13, 'Writing': 33, 'Productivity': 31, 'Art': 32, 'Coronavirus': 4, 'Writing Tips': 1, 'Society': 2, 'Psychology': 7, 'Books': 2, 'Self': 1, 'Life': 1}, 2: {'CLUSTER': 14, 'Mental Health': 5, 'Health': 8, 'Psychology': 6, 'Science': 8, 'Productivity': 3, 'Entrepreneurship': 3, 'Writing': 5, 'Art': 4, 'Marketing': 1}, 3: {'Mental Health': 18, 'Health': 28, 'Psychology': 23, 'Entertainment': 5, 'Art': 8, 'CLUSTER': 35, 'Coronavirus': 5, 'Technology': 28, 'Life': 3, 'Science': 23, 'Food': 1, 'Lifestyle': 4, 'Climate Change': 2, 'Business': 4, 'Writing': 3, 'Productivity': 6, 'Entrepreneurship': 2, 'Work': 1, 'Culture': 1, 'Storytelling': 1, 'Relationships': 1, 'Marketing': 2, 'Society': 1}}",
19,medium1k_200,minilm,mean,cosine,random10,gmm50,2.0,19.0,0.076,"{1: {'Mental Health': 14, 'Health': 10, 'Self Improvement': 6, 'Science': 9, 'Marketing': 15, 'Entrepreneurship': 14, 'Business': 8, 'Storytelling': 1, 'Technology': 13, 'Writing': 33, 'Productivity': 31, 'Art': 32, 'Coronavirus': 4, 'Writing Tips': 1, 'Society': 2, 'Psychology': 7, 'Books': 2, 'Self': 1, 'Life': 1}, 2: {'CLUSTER': 14, 'Mental Health': 5, 'Health': 8, 'Psychology': 6, 'Science': 8, 'Productivity': 3, 'Entrepreneurship': 3, 'Writing': 5, 'Art': 4, 'Marketing': 1}, 3: {'Mental Health': 18, 'Health': 28, 'Psychology': 23, 'Entertainment': 5, 'Art': 8, 'CLUSTER': 35, 'Coronavirus': 5, 'Technology': 28, 'Life': 3, 'Science': 23, 'Food': 1, 'Lifestyle': 4, 'Climate Change': 2, 'Business': 4, 'Writing': 3, 'Productivity': 6, 'Entrepreneurship': 2, 'Work': 1, 'Culture': 1, 'Storytelling': 1, 'Relationships': 1, 'Marketing': 2, 'Society': 1}}",
20,medium1k_200,minilm,mean,cosine,random10,gmm50,3.0,74.0,0.295,"{1: {'Mental Health': 14, 'Health': 10, 'Self Improvement': 6, 'Science': 9, 'Marketing': 15, 'Entrepreneurship': 14, 'Business': 8, 'Storytelling': 1, 'Technology': 13, 'Writing': 33, 'Productivity': 31, 'Art': 32, 'Coronavirus': 4, 'Writing Tips': 1, 'Society': 2, 'Psychology': 7, 'Books': 2, 'Self': 1, 'Life': 1}, 2: {'CLUSTER': 14, 'Mental Health': 5, 'Health': 8, 'Psychology': 6, 'Science': 8, 'Productivity': 3, 'Entrepreneurship': 3, 'Writing': 5, 'Art': 4, 'Marketing': 1}, 3: {'Mental Health': 18, 'Health': 28, 'Psychology': 23, 'Entertainment': 5, 'Art': 8, 'CLUSTER': 35, 'Coronavirus': 5, 'Technology': 28, 'Life': 3, 'Science': 23, 'Food': 1, 'Lifestyle': 4, 'Climate Change': 2, 'Business': 4, 'Writing': 3, 'Productivity': 6, 'Entrepreneurship': 2, 'Work': 1, 'Culture': 1, 'Storytelling': 1, 'Relationships': 1, 'Marketing': 2, 'Society': 1}}",
21,medium1k_200,minilm,mean,cosine,random10,gmm70,1.0,84.0,0.31,"{1: {'Mental Health': 6, 'Health': 7, 'Science': 19, 'Self Improvement': 3, 'Productivity': 27, 'Psychology': 5, 'Writing': 33, 'Technology': 12, 'Entrepreneurship': 14, 'Marketing': 5, 'Books': 3, 'Coronavirus': 4, 'Art': 24, 'Entertainment': 1, 'Lifestyle': 1, 'Climate Change': 1, 'Business': 3, 'Life': 1}, 2: {'CLUSTER': 19, 'Productivity': 8, 'Entrepreneurship': 6, 'Self Improvement': 2, 'Health': 9, 'Science': 7, 'Mental Health': 5, 'Psychology': 4, 'Writing': 2, 'Art': 2}, 3: {'Technology': 30, 'CLUSTER': 50, 'Productivity': 21, 'Marketing': 13, 'Art': 25, 'Writing': 22, 'Writing Tips': 4, 'Entrepreneurship': 14, 'Business': 17, 'Self Improvement': 5, 'Coronavirus': 7, 'Health': 27, 'Life': 2, 'Science': 15, 'Lifestyle': 4, 'Climate Change': 1, 'Psychology': 11, 'Life Lessons': 1, 'Mental Health': 10, 'Self-awareness': 2, 'Books': 2, 'Self': 2, 'Work': 3, 'Storytelling': 1, 'Culture': 1, 'Society': 4, 'Covid 19': 1, 'Food': 1, 'Entertainment': 1}}",
